degree,eigenvector,betweenness,clustering,pagerank,x_proj,y_proj,node_id
1,-7.097340794471235e-20,0.0,0.0,1.0969581072659219e-05,9.184913,-6.5715194,W2100564243
1,2.127377829561328e-20,0.0,0.0,2.0793444971693012e-05,8.225337,6.7142854,W1547403034
9,1.670684195209374e-19,0.0,0.0,1.0969581072659219e-05,14.277513,-2.441856,W1588740028
1,1.2044527849481753e-19,0.0,0.0,1.2061121505885194e-05,-7.1279526,10.288877,W4206059443
2,-9.923937751056673e-20,0.0,0.0,1.3698432155724161e-05,2.138643,4.824445,W3021327005
2,-2.547343070567629e-20,0.0,0.0,1.3698432155724161e-05,2.1423194,4.826294,W4244010489
1,-2.059541062494653e-19,0.0,0.0,1.2061121505885194e-05,-7.1279817,10.288917,W3151422613
1,-4.1751694255688786e-21,0.0,0.0,1.2061121505885194e-05,-7.127338,10.288495,W2312971525
3,-1.5921468794578594e-19,0.0,0.0,1.3932333677129728e-05,2.3066504,4.75131,W2964631455
1,1.02661392407317e-20,0.0,0.0,1.2061121505885194e-05,13.320894,-11.816197,W2040569182
1,-1.6600274486331481e-19,0.0,0.0,1.2061121505885194e-05,-7.1277523,10.288808,W2112887636
1,-2.0790019674479441e-19,0.0,0.0,1.2061121505885194e-05,-10.205101,3.661883,W1496008386
17,-2.0475380466600855e-17,1.4284011572924976e-06,0.007352941176470588,1.1100565924646335e-05,3.2930808,6.3637395,W2100363191
9,-2.259234507012263e-16,0.0,0.0,1.4050810625526483e-05,5.044379,4.7662487,W1597739853
13,-6.115217344768351e-14,0.0,0.01282051282051282,2.9044280049854707e-05,8.109996,7.4259386,W2028391713
1,-9.27501393329429e-18,0.0,0.0,1.158357256634883e-05,-12.174253,-13.088255,W2037789510
1,-9.249556498324437e-18,0.0,0.0,1.158357256634883e-05,1.4580395,18.511776,W2100216335
1,-9.199789974051576e-18,0.0,0.0,1.158357256634883e-05,-6.308736,-2.2158415,W1756612181
2,2.8467492871164102e-05,0.0,0.0,1.2030111834486731e-05,6.4317865,14.683353,W2027756028
60,0.009545739370434209,0.0,0.012429378531073447,3.5162200021892746e-05,8.3591795,7.5089107,W2610685016
1,-8.73501053186102e-18,0.0,0.0,1.158357256634883e-05,23.381645,0.28403664,W2987328453
2,-9.677328098835531e-18,0.0,0.0,1.1682803514823919e-05,8.885663,1.7178233,W2175258452
1,-9.259248231508345e-18,0.0,0.0,1.158357256634883e-05,8.5050335,16.381603,W2110242024
10,-1.4322597877788229e-15,0.0,0.1111111111111111,1.3837603605287707e-05,5.1056867,4.395653,W1986208208
30,-4.817749029662699e-13,0.0,0.04597701149425287,2.0825190298770595e-05,7.7392163,6.9277134,W1535517383
13,-6.7231212823478954e-15,0.0,0.1794871794871795,1.4968050458311125e-05,5.7412333,4.795647,W2042912936
1,-9.138010728365139e-18,0.0,0.0,1.158357256634883e-05,18.39968,4.257373,W758037672
1,-9.290043764016621e-18,0.0,0.0,1.158357256634883e-05,18.399553,4.257237,W1990309597
2,-9.02025113850998e-18,0.0,0.0,1.1758998707403005e-05,-1.6686431,-0.1962645,W2034915623
15,-1.667364843364962e-19,0.0,0.0,1.0969581072659219e-05,2.7613676,6.202529,W2030911594
1,1.6170154756842567e-19,0.0,0.0,1.1624505332594804e-05,-3.27715,22.187698,W144009941
6,0.007019479810479854,0.0,0.0,1.351276758337907e-05,5.911858,4.4682236,W2063087073
3,-7.555429495210165e-16,0.0,0.0,1.2925957387595008e-05,0.96362084,4.7348747,W2150139098
3,-1.4526916519849155e-15,0.0,0.0,1.2638078592018927e-05,0.5543475,4.5148478,W2130037047
1,2.144979268245896e-19,0.0,0.0,1.1624505332594804e-05,-15.998118,0.88001615,W2127962289
1,2.7193578803417206e-20,0.0,0.0,1.1624505332594804e-05,3.0189252,19.160402,W2085956078
7,-3.7564510756186227e-16,0.0,0.047619047619047616,1.4223879110774463e-05,5.1960273,4.6660614,W2137293535
10,-2.7048629772725097e-15,0.0,0.022222222222222223,1.5571743862954103e-05,6.2458854,5.218515,W1982661771
2,-1.72975396908975e-19,0.0,0.0,1.1890015167703825e-05,2.4056265,0.60102445,W3005527513
1,1.3196427962253985e-19,0.0,0.0,1.1624505332594804e-05,3.0189233,19.16039,W1666853924
1,-7.450391990041453e-21,0.0,0.0,1.1624505332594804e-05,4.1687517,-7.4638863,W2115404055
3,-3.1487417648375996e-19,0.0,0.0,1.217370806629341e-05,-0.7454911,2.0499887,W2148309695
1,-3.497948689640337e-20,0.0,0.0,1.1624505332594804e-05,-3.2771013,22.187733,W2059683211
4,-2.9666756568620095e-16,0.0,0.0,1.279963219539214e-05,1.2003621,5.1114736,W2060830712
1,-1.0620814870911076e-19,0.0,0.0,1.1624505332594804e-05,4.1687255,-7.463816,W3183392806
35,-1.0265351992440819e-13,1.2511057077818991e-06,0.0773109243697479,1.9022533715275888e-05,7.429781,6.975944,W4245217443
1,-4.602686981306367e-14,0.0,0.0,1.2934353852465977e-05,-8.670742,25.565424,W2045784797
172,0.015107795624530516,0.0,0.02835577315381477,6.005000546257086e-05,8.532837,7.5363655,W2132881639
19,-2.173959561186309e-13,0.0,0.15204678362573099,1.935258487377589e-05,7.514076,6.5181932,W1976087569
1,-4.6025266352149516e-14,0.0,0.0,1.2934353852465977e-05,-8.670754,25.565462,W1539943521
1,-4.602876153719884e-14,0.0,0.0,1.2934353852465977e-05,4.6718926,-11.997898,W1590719049
10,-8.595668282800062e-18,6.665048560610768e-07,0.06666666666666667,1.1671285636875918e-05,3.3929029,5.990246,W4241306103
1,-3.887082547781176e-18,0.0,0.0,1.2061121505885194e-05,-7.127748,10.288819,W4241650764
1,-4.003776377759782e-18,0.0,0.0,1.2061121505885194e-05,13.320961,-11.816161,W6606913975
22,0.011862060843621328,0.0,0.0735930735930736,2.1119589712241664e-05,8.203717,6.078562,W2122585444
94,0.060803677853221175,0.0,0.014413177762525738,5.72687768105767e-05,8.564712,7.443126,W2295355433
30,0.03069203344080694,0.0,0.020689655172413793,2.7416760631060243e-05,8.548312,6.4341707,W2098252363
174,0.11941672352386329,0.0,0.01661019201381968,8.874294362092306e-05,8.643006,7.3179793,W2119231080
38,0.02608031760186956,0.0,0.01422475106685633,3.0368151211936714e-05,8.515853,6.602967,W1999468279
5,-2.6596563585892856e-14,0.0,0.1,1.3974820137056536e-05,5.0700164,4.365511,W2090119071
1,-3.739150812311556e-18,0.0,0.0,1.2061121505885194e-05,13.033643,20.65002,W168396789
35,1.5742567465593676e-19,0.0,0.005042016806722689,1.1951967462562598e-05,3.5361829,7.8217087,W4249776044
1,6.977161766824035e-21,0.0,0.0,1.1258518246160212e-05,-6.356191,-14.929271,W6680018578
2,0.001032529195998075,0.0,1.0,1.1872509739849823e-05,7.723868,0.39681643,W2060592085
1,3.8494894138529584e-20,0.0,0.0,1.1258518246160212e-05,26.530594,-0.33574697,W2014187387
3,-1.302456287639621e-16,0.0,0.0,1.2169241191207418e-05,-0.7487684,2.0437734,W1994281102
1,1.505402558886065e-20,0.0,0.0,1.1258518246160212e-05,-6.356178,-14.929302,W2072813844
1,-3.8275232651051255e-20,0.0,0.0,1.1258518246160212e-05,-17.326782,11.310254,W2007894891
1,-1.2482017272840734e-19,0.0,0.0,1.1258518246160212e-05,24.836594,-10.750489,W2085151448
2,1.4501011437826506e-20,0.0,0.0,1.1498124682722013e-05,10.619157,-1.3994157,W1991139021
1,-1.5129672695132187e-19,0.0,0.0,1.1258518246160212e-05,-20.859531,8.157508,W2125023524
1,-1.4376674948044725e-20,0.0,0.0,1.1258518246160212e-05,26.530615,-0.33573928,W4231506590
1,1.2549211353974608e-19,0.0,0.0,1.1258518246160212e-05,25.109615,19.212873,W2082373127
1,-6.6459918820460876e-21,0.0,0.0,1.1258518246160212e-05,11.540722,-15.821171,W2063701864
1,-1.579584769981365e-19,0.0,0.0,1.1258518246160212e-05,28.18494,17.62278,W6666954426
1,-8.445295078147405e-20,0.0,0.0,1.1258518246160212e-05,28.184942,17.622808,W6676041140
1,1.1044251028062544e-19,0.0,0.0,1.1258518246160212e-05,-3.9138358,15.526634,W6674862771
24,0.0023034587743363233,5.857302731351907e-06,0.04710144927536232,1.437958319570675e-05,5.238307,6.968651,W2051390054
6,0.002228209559309449,0.0,0.2,1.3139483688074535e-05,4.81528,3.7758126,W1590947159
1,1.0545477177333478e-19,0.0,0.0,1.1258518246160212e-05,23.339289,-13.577896,W1919435019
30,-5.897247409109158e-20,0.0,0.0,1.3059559960983074e-05,4.1122956,7.096638,W2124174101
2,8.604887404133204e-20,0.0,0.0,1.1960222810376912e-05,0.9282206,0.52303183,W2204589313
6,0.0022282095593102705,0.0,0.2,1.3555830088182327e-05,4.93418,3.8626537,W1989016101
1,-1.6726269051066924e-19,0.0,0.0,1.1258518246160212e-05,26.530659,-0.3357267,W2312417386
1,-1.8043033657403969e-19,0.0,0.0,1.1258518246160212e-05,23.339254,-13.577949,W1966971297
2,-1.9902188331550623e-19,0.0,0.0,1.13462313166873e-05,-5.16026,6.346394,W2038068182
4,-1.2431537688155586e-16,0.0,0.3333333333333333,1.263581743732043e-05,3.2442744,2.7894607,W2059075385
1,1.0907146657722909e-20,0.0,0.0,1.1258518246160212e-05,-6.3562026,-14.9293165,W2084706889
1,-2.1232352518797092e-19,0.0,0.0,1.1258518246160212e-05,24.836601,-10.750541,W1978967446
1,-2.1382402148419215e-19,0.0,0.0,1.1258518246160212e-05,12.575297,-10.58662,W2066041400
1,-1.747358224442251e-19,0.0,0.0,1.1258518246160212e-05,-20.859539,8.157514,W2098827290
1,-3.231726157364809e-20,0.0,0.0,1.1258518246160212e-05,12.575852,-10.586798,W1537424868
2,-6.178128597253047e-20,0.0,0.0,1.1960222810376912e-05,0.92923325,0.52293074,W2132087580
2,-1.409731532393856e-17,0.0,0.0,1.1393091724229168e-05,11.064645,-3.1821816,W4233431594
1,-6.711223326011348e-20,0.0,0.0,1.1258518246160212e-05,-3.9137216,15.526543,W2106069704
1,2.9833398892243587e-20,0.0,0.0,1.1258518246160212e-05,11.54073,-15.821211,W1967219963
10,-1.5127092060970267e-19,0.0,0.022222222222222223,1.1396705590008513e-05,3.2123556,6.12861,W4252526595
1,-1.4371294605277072e-20,0.0,0.0,1.2061121505885194e-05,-10.205082,3.6619182,W2056197517
1,-1.68547654788295e-20,0.0,0.0,1.2061121505885194e-05,13.321067,-11.815898,W6631724429
6,-3.0510087374617873e-15,0.0,0.3333333333333333,1.527489496441859e-05,5.354342,3.9697914,W2098538023
1,2.162326596915558e-19,0.0,0.0,1.2061121505885194e-05,13.321164,-11.815848,W2087055222
1,5.832905911254102e-20,0.0,0.0,1.2061121505885194e-05,-7.1277475,10.288876,W1986872463
1,-3.9695251506581866e-20,0.0,0.0,1.2061121505885194e-05,13.321071,-11.815709,W2164073908
1,1.7063661535706198e-19,0.0,0.0,1.2061121505885194e-05,-10.204987,3.6619143,W1529100907
1,-5.073869430202457e-20,0.0,0.0,1.2061121505885194e-05,-10.205032,3.661914,W3023445981
15,9.622136464753889e-20,0.0,0.0380952380952381,1.1396705590008513e-05,3.153699,6.2721844,W4255131244
1,-1.36633071128829e-19,0.0,0.0,1.1671285636875918e-05,25.648668,-8.566403,W2025810010
143,0.043346594767758914,0.0,0.0185166945730326,8.11217873896489e-05,8.563986,7.4943357,W4233857083
