id,x_topo,y_topo
W2100564243,20.32397,-2.9784746
W1547403034,19.92943,-3.8261256
W1588740028,-10.730599,11.141056
W4206059443,-4.0814767,-2.8144424
W3021327005,-0.24732201,5.3071957
W4244010489,-0.2470915,5.3081164
W3151422613,-4.069082,-2.8018365
W2312971525,-4.0719585,-2.8051653
W2964631455,-0.20510711,5.084138
W2040569182,-4.059521,-2.791424
W2112887636,-4.083422,-2.8170428
W1496008386,-4.0634575,-2.7959898
W2100363191,4.8532457,4.1260056
W1597739853,0.551114,4.3226666
W2028391713,1.9014556,1.1526237
W2037789510,15.587632,5.070466
W2100216335,15.629793,5.1121573
W1756612181,15.628742,5.104633
W2027756028,-10.045817,11.876383
W2610685016,2.1267483,0.7708281
W2987328453,15.630878,5.1109266
W2175258452,1.3748026,7.348579
W2110242024,15.627862,5.1084056
W1986208208,1.0929624,4.1604686
W1535517383,1.5397561,1.7665311
W2042912936,1.1467781,3.3899126
W758037672,15.663276,5.146476
W1990309597,15.607216,5.091079
W2034915623,-10.784081,7.2228265
W2030911594,5.1252866,3.642685
W144009941,2.6760364,17.768917
W2063087073,2.837213,2.7557986
W2150139098,-1.6612488,6.769162
W2130037047,-2.137614,7.1055546
W2127962289,2.6637561,17.78129
W2085956078,2.6396904,17.812937
W2137293535,0.6926291,4.1394625
W1982661771,0.5206722,3.209273
W3005527513,-0.87675524,7.436097
W1666853924,2.7613661,17.6869
W2115404055,2.6943111,17.752272
W2148309695,-5.848062,7.097232
W2059683211,2.679444,17.765562
W2060830712,0.73373985,7.0446625
W3183392806,2.647549,17.799404
W4245217443,1.5226189,2.1454744
W2045784797,6.3091474,21.152525
W2132881639,2.1807606,0.6075321
W1976087569,1.2430611,2.028295
W1539943521,6.3107605,21.15084
W1590719049,6.3088956,21.151375
W4241306103,4.614244,3.9295971
W4241650764,-4.070856,-2.803867
W6606913975,-4.079823,-2.8096716
W2122585444,2.5212667,1.0571285
W2295355433,2.2341805,0.5633206
W2098252363,2.5832758,0.5623623
W2119231080,2.3129673,0.44687328
W1999468279,2.482955,0.6080435
W2090119071,0.8042114,4.3282766
W168396789,-4.0881677,-2.8182793
W4249776044,5.251979,5.5402703
W6680018578,8.172066,15.075664
W2060592085,18.54523,1.0726624
W2014187387,8.520171,14.999016
W1994281102,-5.846293,7.094937
W2072813844,8.347957,15.044361
W2007894891,8.387782,15.044638
W2085151448,8.3146925,15.295159
W1991139021,-1.5117636,7.689873
W2125023524,8.305198,15.028777
W4231506590,8.283325,14.857571
W2082373127,8.135116,15.05611
W2063701864,8.148109,15.170831
W6666954426,8.233063,15.263082
W6676041140,8.208985,15.055558
W6674862771,8.2480545,15.218609
W2051390054,3.6640747,5.041665
W1590947159,2.7764816,3.097947
W1919435019,8.332116,14.879118
W2124174101,4.5683284,5.215101
W2204589313,6.720371,18.973074
W1989016101,2.5997658,3.09032
W2312417386,8.359838,15.00081
W1966971297,8.367953,15.022862
W2038068182,15.669143,14.494239
W2059075385,12.176011,3.782641
W2084706889,8.382419,15.270048
W1978967446,8.382835,15.270569
W2066041400,8.2439785,14.943407
W2098827290,8.125337,14.989324
W1537424868,8.285342,15.006653
W2132087580,6.720345,18.97283
W4233431594,3.2567475,-4.9325976
W2106069704,8.373321,15.114959
W1967219963,8.259809,15.2550125
W4252526595,4.733916,3.870837
W2056197517,-4.056902,-2.7896297
W6631724429,-4.0712175,-2.804206
W2098538023,1.8043245,3.1655326
W2087055222,-4.09026,-2.824833
W1986872463,-4.0515385,-2.7816849
W2164073908,-4.082901,-2.811128
W1529100907,-4.04923,-2.7833648
W3023445981,-4.0806174,-2.8173056
W4255131244,4.8925543,3.9872134
W2025810010,17.747343,-0.570433
W4233857083,2.2098825,0.5657765
W3004210113,0.7637328,7.0764475
W4239941272,9.271879,-3.3372345
W3092573107,17.721638,-0.60084456
W1753524162,1.9080302,1.243399
W1991859109,3.1115665,1.129639
W2036345186,2.8766203,0.09558599
W4244385038,17.705599,-0.61281425
W1980670965,1.3957669,2.104914
W3016556061,-8.592093,5.643513
W4285719527,2.200102,0.58020985
W4206183719,17.798756,-0.5153899
W4300929448,4.4510016,-5.1581483
