id,x_hybrid,y_hybrid
W2100564243,8.499267,12.552493
W1588740028,8.535526,12.308458
W2100363191,8.76053,12.052601
W2030911594,8.747363,12.046571
W4245217443,8.270407,10.0207615
W4241306103,9.069312,11.097193
W4249776044,8.953485,11.933729
W2051390054,8.964748,10.82254
W2124174101,8.8729515,11.925835
W4252526595,8.74984,11.890626
W4255131244,9.01014,11.550643
W2058462165,9.048298,10.752851
W4232108933,8.486228,12.53207
W4255904985,8.933838,11.860041
W2155399968,2.428562,-2.6897457
W4249437572,8.848102,12.224883
W2142111080,8.839131,12.018191
W2163035873,9.066132,11.289654
W1979983982,8.978994,11.9185
W4230981185,8.440061,12.526194
W4250305371,8.2146435,9.982241
W4239445310,8.620501,12.146964
W3041520455,3.1405683,-1.7910475
W4251595020,8.775281,11.994463
W1978819622,8.573149,12.409417
W4248207135,8.470885,12.427018
W2042503542,8.545874,12.339647
W2015489438,9.68477,12.110842
W2033034731,2.9664865,-2.1707706
W4255692800,5.8409104,8.485393
W4234610156,8.423344,12.531867
W2168819638,8.710083,12.1193695
W1523882855,8.948848,12.02951
W4230241830,8.683693,12.120901
W4246423046,8.850269,12.172145
W2015237589,8.688662,12.108752
W3085563693,2.442079,-2.6865559
W4242274056,8.978197,11.877409
W4234789860,8.798598,12.078553
W1994321834,8.385928,12.485252
W2085224306,8.998839,11.408509
W4237685258,8.577013,12.411652
W1970826919,8.399632,12.505276
W4246631248,8.482923,12.567485
W1587413890,8.56544,12.318315
W2108458429,5.39693,7.578245
W2054901814,5.063894,7.791634
W1977817023,8.661169,12.169669
W2143119138,8.90809,11.825016
W4230801050,8.41266,12.48497
W2059861094,8.729996,12.28107
W2168272469,8.478704,12.372485
W4246272943,8.911211,11.895333
W2019520294,8.39713,12.476494
W2078186475,8.41507,12.4687
W4242572228,8.789695,10.442306
W1880711490,9.354607,12.1334915
W2153280911,9.0930395,10.966797
W2125975474,3.067802,-1.7987261
W2113864904,9.149059,12.023798
W4237375676,9.038642,11.901822
W4245792728,9.166918,12.29751
W4250947857,9.011396,11.138256
W2082128359,9.3271265,12.844793
W2104658797,8.769616,9.930989
W4234263330,9.301318,12.64934
W2105714444,9.391039,12.829307
W4241978124,9.244021,12.05194
W2056784831,9.292031,12.179735
W2146918884,9.201125,11.381287
W2115973673,9.319419,12.912238
W2154632537,8.8181095,9.866621
W2160614291,8.706875,10.369727
W2137958167,9.258212,12.588692
W4238820340,9.363521,12.726091
W2118733287,9.407047,12.877462
W4242483164,8.239292,9.933758
W2131275470,9.134905,11.011024
W2029604820,9.215947,11.359235
W2171846534,9.142528,11.809435
W2167551756,9.310414,12.627184
W4244354616,9.08094,11.959332
W4252643390,8.463145,10.147015
W4239607958,7.776538,9.587112
W2159144288,9.264971,12.588337
W2294034237,9.178561,12.452587
W2083909211,8.771495,10.385282
W4242926086,2.7506232,-2.3050547
W2114975239,2.7365608,-2.2900887
W4230767085,9.098842,12.142806
W4245891287,5.7095757,8.312252
W2143892331,9.259467,12.603613
W1969387177,9.078087,11.036005
W4253616902,9.254545,11.702987
W4237490481,9.237163,11.915912
W2139254730,9.259185,12.381961
W4234169579,9.293123,12.664235
W4251435944,9.315221,12.941666
W2131008464,9.349326,12.956488
W4239411099,9.157379,12.2884035
W2172049659,3.1134698,-1.788442
W4243983522,9.373734,12.744185
W2011317649,7.9840593,9.804289
W2050824808,9.25087,12.013023
W2104082080,5.3687844,-0.41438556
W2010783983,5.50173,-0.18790607
W2079380280,2.6958146,-2.2817442
W2098819183,2.6822891,-2.3512974
W2092640130,2.4724026,-2.621762
W2117616757,8.6378145,10.108666
W2121925785,8.752794,10.162884
W2151631470,9.4365425,11.764675
W2158328065,9.036827,10.235789
W2185062867,5.738965,-0.014728414
W4248054006,8.364073,9.998619
W4246560761,9.20534,10.785171
W4230598405,9.570055,10.612181
W4237402756,8.766729,10.321345
W4239641686,5.452829,-0.3087907
W2120835680,8.976903,10.163231
W2160946550,2.7668862,-2.346114
W2133861655,9.318645,11.124806
W2171555216,9.553198,11.044539
W2294748468,9.476682,10.686827
W2159756583,5.6300573,-0.12352131
W4256306493,9.550278,11.073201
W2126485681,9.477975,10.676569
W2096125052,8.930178,9.90995
W2124294125,9.442197,10.652853
W2101990964,2.6576157,-2.3987522
W2153797770,9.54299,10.989724
W2121801675,9.127328,10.796538
W2170100090,8.91199,10.259106
W2125944019,2.5944405,-2.543433
W2129129667,2.883782,-2.1515658
W2143967859,9.545328,10.8997345
W2141495476,5.360292,-0.35295677
W2113623008,8.195852,9.070514
W2122089115,8.918744,10.452239
W2039900864,5.6199956,-0.11398325
W2120683899,8.399191,9.955383
W4241437704,5.3590846,-0.3864318
W4254180709,9.425377,10.563446
W2140793785,5.468177,-0.26403385
W2051717600,8.93792,10.34852
W2127831599,9.541844,10.973504
W2107666439,2.629388,-2.4325645
W2163426841,5.429509,-0.3039259
W2116749829,9.513703,10.764963
W2113841613,5.5059314,-0.22450092
W2024607104,5.535469,-0.18237703
W2095363539,9.927926,11.090354
W2169569824,5.447282,-0.23304076
W2123762540,9.592651,10.879306
W1775037830,5.396238,-0.36744523
W4247702446,5.604352,-0.11881535
W4239468530,5.48815,-0.18193999
W2110004896,9.52398,11.253244
W1984245013,3.211819,-1.604781
W2109241830,2.7761135,-2.2825396
W2140624418,5.4628453,-0.16333021
W4236083265,7.8722143,9.72468
W2151228210,9.601176,10.916306
W1966856516,5.4918995,-0.12073631
W2118865530,9.141084,10.2042265
W2151475658,9.545933,11.099575
W4244318278,8.622529,12.1761875
W4240916208,9.3278,11.438888
W4253820780,9.7296715,12.3527775
W2161483986,9.559947,11.764401
W2086724838,9.380702,11.096159
W2139000476,9.782469,12.091698
W4236153089,9.69305,11.823412
W4232266193,9.711294,11.928223
W2121760846,9.211616,10.960381
W4255374521,9.415103,11.201205
W2145644730,9.54904,11.73385
W2160319726,9.518145,11.520083
