node_id,x_backbone,y_backbone
W2100363191,-3.1499207,3.5128539
W4245217443,8.80077,2.5715907
W4241306103,7.331282,9.579706
W2051390054,5.880194,7.5926156
W2058462165,8.839222,8.048423
W4255904985,-2.3283641,3.7802355
W2155399968,11.679822,-1.621947
W4250305371,8.866366,2.2591279
W3041520455,10.695508,-0.705835
W4251595020,-2.720531,3.1957827
W1978819622,-2.8773751,11.030541
W2015489438,-2.879274,11.043509
W2033034731,10.935769,-0.89389205
W4255692800,8.135836,-0.033172965
W1523882855,-2.5429957,10.608057
W3085563693,11.688391,-1.6318283
W4242274056,-2.0399046,4.374944
W2085224306,5.0762553,9.532589
W2108458429,8.071093,0.85272634
W2054901814,8.068543,0.06334729
W2143119138,-0.8498573,3.9957283
W2059861094,-2.8394578,10.97649
W4246272943,-2.2806258,3.897373
W4242572228,7.515207,7.2578444
W2153280911,7.450194,9.163133
W2125975474,10.7419815,-0.72537863
W4250947857,5.400591,10.379726
W2104658797,12.747238,5.805927
W2146918884,6.1736007,10.996773
W4242483164,8.669577,1.7272813
W2131275470,6.046578,8.090799
W2171846534,-2.6444275,4.7976656
W4244354616,-2.5542967,10.61133
W4252643390,8.85747,2.6057494
W4239607958,8.804515,0.48972216
W4242926086,11.19015,-1.084563
W2114975239,11.029638,-0.97486407
W4245891287,8.104601,-0.08326767
W4253616902,-2.0802066,4.1558642
W4239411099,-2.8382983,10.683994
W2172049659,10.692909,-0.7044013
W2011317649,8.558556,1.4693532
W2079380280,11.313796,-1.1580708
W2098819183,11.376353,-1.1986762
W2092640130,11.670243,-1.6097406
W2117616757,8.241262,3.5939007
W2121925785,5.224741,7.1943884
W2151631470,-2.5820713,10.629821
W2158328065,10.509006,7.2096844
W4248054006,8.809034,2.6006813
W4246560761,7.467309,9.139383
W4237402756,7.5906277,7.1632605
W2120835680,7.5071893,7.6125145
W2160946550,11.159506,-1.0719427
W2133861655,6.827066,9.938623
W2171555216,-2.290204,3.7422154
W2294748468,7.0602393,9.07753
W4256306493,-2.5923688,3.1667747
W2126485681,5.8195276,8.553779
W2124294125,6.1066327,8.683128
W2101990964,11.333774,-1.1735522
W2121801675,5.7714443,7.667504
W2170100090,7.533115,7.326235
W2125944019,11.418403,-1.2473729
W2129129667,11.046121,-0.8166969
W2143967859,-2.2011888,3.8553772
W2113623008,13.235544,5.426683
W2122089115,7.472966,7.566886
W2120683899,8.933856,2.1428201
W4254180709,6.4950957,8.143287
W2051717600,5.737532,7.492254
W2127831599,-1.8521802,3.3087897
W2107666439,11.404703,-1.2322631
W2123762540,-1.6622766,3.618871
W1984245013,10.665476,-0.7102939
W2109241830,11.076594,-1.0154079
W4236083265,10.0640955,-0.18276222
W2151228210,-2.1216083,3.9318368
W2151475658,-2.3824973,3.7462833
W4240916208,-2.274081,3.6823258
W2086724838,-2.2053444,3.8606331
W2121760846,5.292995,10.275237
W2160319726,-2.7175865,3.5275357
W4248940208,11.297457,6.171701
W4236801884,6.139704,10.898778
W4238374365,-2.0164344,4.2736187
W2130773579,10.477793,7.2580633
W4245815701,5.9612026,8.566518
W2159610182,-3.0975578,3.597262
W4253862801,-2.5606432,10.628855
W2145535795,11.322019,6.552227
W2016592912,7.108433,5.914402
W2110080554,7.8880706,0.08115529
W1974269654,1.4643047,5.844902
W2166261239,1.6621733,6.237336
W3141878869,5.908201,8.558086
W2145519405,4.7614403,6.0082164
W2141018272,8.168466,-0.013822174
W2163114021,6.178322,11.064036
W2535916385,6.11259,10.945108
W2534553188,5.4510007,10.413042
W2096697416,12.830351,5.749589
W2535433266,8.807734,2.604135
W2026506423,8.3051605,0.17729934
W2040688751,8.637231,1.597208
W3145314891,8.031259,1.7178396
W4233757823,10.29216,-0.33542985
W2040662088,8.536146,8.07656
W2129192474,10.450519,6.8810525
W3140985161,11.376224,6.5701337
W4244566377,5.159677,10.333383
W2122295916,-1.7378027,4.046168
W2142326513,8.167718,7.955285
W2111452541,7.5383263,7.6096907
W3152112910,8.826655,6.4267397
W4214876992,-2.3119125,3.7822013
W1976651297,9.5177355,7.741312
W2103210990,10.067562,6.6163273
W2105109486,-2.5960014,3.2289672
W3140720226,6.9621267,8.557584
W4252181141,6.20687,9.721034
W3143189107,11.6830635,-1.6265061
W2156760499,6.623639,6.7366486
W2165204255,5.7251678,8.083104
W2128136904,10.871732,-0.7785327
W2135009558,10.922776,-0.81271905
W2116680597,11.7064,-1.6496391
W2106935574,5.9618964,8.492892
W3147963387,10.035109,-0.17045169
W4245386255,10.673604,-0.6872297
W4255574753,13.157343,5.442956
W4252716334,12.990039,5.633237
W3152441428,3.895903,6.1185417
W3140899032,10.596285,-0.6208334
W2122969187,11.192282,6.588818
W2138812339,11.4357395,-0.758967
W2137833347,11.430935,-1.2710636
W2099090501,11.355528,4.963323
W2167845088,11.075546,6.630798
W2163073181,6.3809795,8.437146
W2017018978,8.336972,0.22113217
W3148212283,11.716722,6.087988
W4245628801,7.416613,7.64854
W2134859956,11.367888,6.362863
W2011571639,-0.95256215,4.355235
W2100309672,7.9318233,8.1748495
W2107578535,6.609933,6.039717
W2165401058,5.635881,7.326501
W2112829430,8.005256,8.18844
W4254064697,6.1384144,11.025409
W1995483959,7.4465485,7.6240816
W2101654639,8.701525,7.975725
W3141943630,8.51838,7.9798517
W2121372454,10.511867,7.0038304
W2096127266,-2.8543267,10.706798
W2045625914,11.742603,6.149878
W3152088239,12.904479,5.7179976
W4250585725,8.928831,2.1311011
W2106297084,11.375555,6.438032
W2169704965,6.327098,8.372726
W1651915441,-1.9434018,4.0506816
W2152819341,7.4442506,9.2125025
W1970929543,5.53469,10.38255
W2144373617,11.266477,5.289737
W2104733168,5.2148824,10.328866
W2153587307,8.898663,2.256567
W2120686223,6.002452,8.706562
W2156613165,7.092807,9.191982
W2541915565,8.451837,1.3703891
W2119664536,11.782182,5.021504
W2165580095,11.459871,6.461504
W2019046028,5.1610074,7.0620947
W2034718992,11.531878,5.1509037
W1966359569,5.984045,1.4932442
W2058878000,11.730845,4.999827
W1979594474,11.570469,5.009555
W2099182613,7.6039457,7.188076
W1519168681,10.155993,6.7279725
W2126806883,8.662417,8.400158
W2025095868,7.421753,7.1475453
W2128938146,8.396956,0.2914287
W3150094105,8.46963,7.3676605
W4256596898,8.905953,2.505655
W1966887380,10.6115885,6.8207583
W1989077545,-2.5313702,5.881062
W3151445111,6.2815294,9.39815
W3148642751,6.7379436,7.078968
W3148572220,-2.829745,10.515994
W4236158674,5.1891623,10.312019
W3139588915,4.574285,5.9467807
W4235311325,-1.2457716,5.1378293
W2054150189,-1.7720792,3.9977067
W2152071441,-2.337581,3.6931381
W2107047260,-2.868526,10.789298
W2136626147,-2.5335684,3.0394561
W2135577168,6.1211414,0.4921918
W2105912313,-2.407392,5.0949836
W2119828234,7.991035,-0.13903204
W2097546366,11.405121,5.182386
W2155565025,11.512314,5.2759624
W2132317457,7.5543137,3.823705
W2115517714,6.413175,2.2503448
W2147588728,-3.025932,4.4576616
W1997901969,11.330494,5.000144
W2158711339,5.5993443,1.3747245
W2093903345,6.2426996,0.62558264
W3145373705,12.074061,6.041519
W3149516640,5.0310845,9.427745
W3141304108,-1.6755502,5.721903
W2009981255,-1.7031642,4.135167
W2538055499,8.919392,2.1869433
W3151945894,8.813816,2.7104847
W2094565799,-0.91263634,4.023895
W2039466918,11.378572,6.5922027
W1991484114,11.550427,-1.4773113
W2047286432,12.367422,5.4844313
W2137812155,11.423733,-0.76431644
W2100506742,11.460802,-0.77988416
W1991775252,-1.8577454,4.769644
W4254821833,11.222746,-0.66372204
W2155151793,11.782523,6.1479325
W4237729466,12.798394,5.770682
W3141009312,11.631349,6.2095623
W2069231485,8.841832,2.7283876
W2077202066,9.460401,6.6684756
W1982473353,9.420113,7.851891
W3146523492,6.0982347,10.929887
W2532506824,8.14137,2.33573
W4238211142,-1.1030802,4.504826
W2027549499,7.550747,8.505302
W1993631717,8.090074,7.9311633
W3150714937,-3.024737,3.5258417
W2097405194,8.022489,3.9214373
W2032501254,11.018726,-0.97118527
W2011658854,8.664897,0.5525337
W2066241849,11.47284,6.3817525
W2046715323,4.844807,6.1944237
W2088906910,8.7968235,7.1052165
W2029200786,6.0594306,10.871017
