source,target,source_year
W4402401726,W4387917687,2024
W4402401726,W2610687266,2024
W4402401726,W3161840223,2024
W4402401726,W4297256565,2024
W4402401726,W3204781564,2024
W4402401726,W2120326355,2024
W4402401726,W2081617138,2024
W4402401726,W2168629730,2024
W4402401726,W2810117028,2024
W4402401726,W2054901814,2024
W4402401726,W2031843365,2024
W4402401726,W2050674259,2024
W4402401726,W4232488826,2024
W4402401726,W2217256191,2024
W4402401726,W3194707655,2024
W4402401726,W2291288208,2024
W4402401726,W4366548472,2024
W4402401726,W2146622339,2024
W4402401726,W3204181713,2024
W4402401726,W4242372420,2024
W4402401726,W2952342347,2024
W4402401726,W2150085383,2024
W4402401726,W4225099728,2024
W4402401726,W2156349886,2024
W4402401726,W2342459749,2024
W4402401726,W3016306020,2024
W4402401726,W2106687164,2024
W4402401726,W2159876113,2024
W4402401726,W2135577168,2024
W4402401726,W2064766209,2024
W4402401726,W2113411758,2024
W4402401726,W3127701756,2024
W4402401726,W3152984944,2024
W4402401726,W4388018862,2024
W4402401726,W4225000481,2024
W4402401726,W3107737386,2024
W4402401726,W6636781701,2024
W4402401726,W2513780624,2024
W4402401726,W4396832564,2024
W4402401726,W4366549575,2024
W4402401726,W4366549947,2024
W4402401726,W2323909273,2024
W4402401726,W4302042384,2024
W4402401726,W2132881639,2024
W4402401726,W2979759703,2024
W4402401726,W2999308857,2024
W4402401726,W2888611489,2024
W4402401726,W1973762760,2024
W4402401726,W1568955415,2024
W4402401726,W2887125871,2024
W4402401726,W2482255569,2024
W4402401726,W2013728941,2024
W4402401726,W2058977039,2024
W4402401726,W3204423130,2024
W4402401726,W3128073725,2024
W4402401726,W2963271501,2024
W4402401726,W2102047094,2024
W4402401726,W2941610467,2024
W4402401726,W4387965551,2024
W4402401726,W3162684935,2024
W4402401726,W4294169831,2024
W4402401726,W2809924942,2024
W4402401726,W4251323150,2024
W4402401726,W2971292544,2024
W4402401978,W3139281922,2024
W4402401978,W2904955348,2024
W4402401978,W4388469749,2024
W4402401978,W4297256565,2024
W4402401978,W3003457832,2024
W4402401978,W2081617138,2024
W4402401978,W1952173784,2024
W4402401978,W1983425941,2024
W4402401978,W3199130456,2024
W4402401978,W2906284509,2024
W4402401978,W4242372420,2024
W4402401978,W2126520272,2024
W4402401978,W2170080350,2024
W4402401978,W2104123546,2024
W4402401978,W1964493548,2024
W4402401978,W2135728732,2024
W4402401978,W2108982845,2024
W4402401978,W1980209219,2024
W4402401978,W4387885925,2024
W4402401978,W6803985200,2024
W4402401978,W2898636943,2024
W4402401978,W2611586694,2024
W4402401978,W4247200431,2024
W4402401978,W2795622273,2024
W4402401978,W2163805179,2024
W4402401978,W2056926626,2024
W4402401978,W3204849956,2024
W4402401978,W1633631835,2024
W4402401978,W3204776932,2024
W4402401978,W4387934945,2024
W4402401978,W4302933549,2024
W4402401978,W2528824210,2024
W4402401978,W2084776154,2024
W4402401978,W2969940513,2024
W4402401978,W2142493242,2024
W4402401978,W884650706,2024
W4402401978,W6766455673,2024
W4402401978,W2769053988,2024
W4402401978,W3204423130,2024
W4402401978,W4389610598,2024
W4402401978,W3031685178,2024
W4402401978,W3215526210,2024
W4402401978,W7055212432,2024
W4402401978,W4236683703,2024
W4402401978,W1530372876,2024
W4402401978,W1970569592,2024
W4402401978,W2157900633,2024
W4402401978,W4392019880,2024
W4402401978,W4386124786,2024
W4402401978,W2888660171,2024
W4402401978,W6863513188,2024
W4402401978,W2118029778,2024
W4402401978,W2115072199,2024
W4402401978,W2103776060,2024
W4402401978,W2971292544,2024
W4402401978,W3107379464,2024
W4402401978,W1869416143,2024
W4402401978,W6694783506,2024
W4402401978,W6607087998,2024
W4402401978,W4297964964,2024
W4402401978,W4394907091,2024
W4402436605,W2010712298,2024
W4402436605,W2159205441,2024
W4402436605,W2003741962,2024
W4402436605,W2094840417,2024
W4402436605,W2296725420,2024
W4402436605,W4232337940,2024
W4402436605,W2147062644,2024
W4402436605,W2625058834,2024
W4402436605,W2408539216,2024
W4402436605,W6776309961,2024
W4402436605,W3195407697,2024
W4402436605,W2152621157,2024
W4402436605,W2797387704,2024
W4402436605,W2796841069,2024
W4402436605,W1507189098,2024
W4402436605,W183719015,2024
W4402436605,W4223959673,2024
W4402436605,W6776878634,2024
W4402436605,W3110010112,2024
W4402436605,W3214797839,2024
W4402436605,W2167482691,2024
W4402436605,W2089621285,2024
W4402436605,W2060538865,2024
W4402436605,W2147468287,2024
W4402436605,W2111330212,2024
W4402436605,W1908738628,2024
W4402436605,W2075220720,2024
W4402436605,W6686388858,2024
W4402436605,W6785108552,2024
W4402436605,W2964243445,2024
W4402436605,W2085995966,2024
W4402436605,W884650706,2024
W4402436605,W2398936633,2024
W4402436605,W2200269224,2024
W4402436605,W2886794935,2024
W4402436605,W2754074966,2024
W4402436605,W2139786269,2024
W4402436605,W1964473154,2024
W4402436605,W2106588364,2024
W4402436605,W2071353749,2024
W4402436605,W2002025203,2024
W4402436605,W634834491,2024
W4402436605,W1979740931,2024
W4402436605,W2515289923,2024
W4402436605,W2024271810,2024
W4402436605,W1735790193,2024
W4402436605,W2468929674,2024
W4402436605,W2158453355,2024
W4402436605,W2816876164,2024
W4402436605,W2518571988,2024
W4402436605,W3099762921,2024
W4402436605,W2045027193,2024
W4402436605,W2052977033,2024
W4402436605,W2551937259,2024
W4402401737,W2048357526,2024
W4402401737,W1999730921,2024
W4402401737,W2904142705,2024
W4402401737,W2888308855,2024
W4402401737,W2914973542,2024
W4402401737,W3201699561,2024
W4402401737,W6778883912,2024
W4402401737,W2896091756,2024
W4402401737,W4293188238,2024
W4402401737,W2001487069,2024
W4402401737,W2901423807,2024
W4402401737,W2138232041,2024
W4402401737,W2897426720,2024
W4402401737,W3127631819,2024
W4402401737,W2096815985,2024
W4402401737,W6848909144,2024
W4402401737,W4205228460,2024
W4402401737,W1816695033,2024
W4402401737,W6738481111,2024
W4402401737,W4234385570,2024
W4402401737,W4387801234,2024
W4402401737,W2131737623,2024
W4402401737,W4233027318,2024
W4402401737,W2135577168,2024
W4402401737,W6855392848,2024
W4402401737,W2897132999,2024
W4402401737,W1996398436,2024
W4402401737,W2981100315,2024
W4402401737,W587016256,2024
W4402401737,W2083928261,2024
W4402401737,W3031494326,2024
W4402401737,W3204849956,2024
W4402401737,W1973752528,2024
W4402401737,W2054054049,2024
W4402401737,W4233881202,2024
W4402401737,W4385567149,2024
W4402401737,W3128455241,2024
W4402401737,W2131340804,2024
W4402401737,W6607072425,2024
W4402401737,W6677069765,2024
W4402401737,W6810793288,2024
W4402401737,W2119518809,2024
W4402401737,W6847363464,2024
W4402401737,W1959365993,2024
W4402401737,W6881047227,2024
W4402401737,W6881910738,2024
W4402401737,W3092428543,2024
W4402401737,W6790110019,2024
W4402401737,W1992824033,2024
W4402401737,W2119828234,2024
W4402401737,W2753821824,2024
W4402401737,W6809646742,2024
W4402401737,W3035461111,2024
W4402401737,W2165966087,2024
W4402401737,W2509947681,2024
W4394687614,W2088323702,2024
W4394687614,W2346476940,2024
W4394687614,W2902652978,2024
W4394687614,W3037401892,2024
W4394687614,W2157379557,2024
W4394687614,W2995755016,2024
W4394687614,W4220716524,2024
W4394687614,W2007339694,2024
W4394687614,W4205194699,2024
W4394687614,W2975605169,2024
W4394687614,W2047752105,2024
W4394687614,W2395274837,2024
W4394687614,W4283687643,2024
W4394687614,W4364377241,2024
W4394687614,W3098042261,2024
W4394687614,W6969027124,2024
W4394687614,W2484828460,2024
W4394687614,W2986308225,2024
W4394687614,W2144764737,2024
W4394687614,W4385946175,2024
W4394687614,W3186838184,2024
W4394687614,W4312765319,2024
W4394687614,W4385959199,2024
W4394687614,W6683826816,2024
W4394687614,W2087016914,2024
W4394687614,W2898824002,2024
W4394687614,W1997780235,2024
W4394687614,W4364360177,2024
W4394687614,W2163825541,2024
W4394687614,W2398697463,2024
W4394687614,W1861492603,2024
W4394687614,W2323909273,2024
W4394687614,W2113586398,2024
W4394687614,W4280605846,2024
W4394687614,W2079272025,2024
W4394687614,W2786672974,2024
W4394687614,W6683482728,2024
W4394687614,W2807795618,2024
W4394687614,W2937993401,2024
W4394687614,W1553862741,2024
W4394687614,W3163414494,2024
W4394687614,W1987971958,2024
W4394687614,W2752662042,2024
W4394687614,W1927933524,2024
W4394687614,W2015755066,2024
W4394687614,W6684055677,2024
W4394687614,W2104277667,2024
W4394687614,W4220975008,2024
W4394687614,W2001917229,2024
W4394687614,W2063295648,2024
W4394687614,W2900144939,2024
W4394687614,W4297461125,2024
W4394687614,W2750384547,2024
W4394687614,W2170240176,2024
W4394687614,W3039222472,2024
W4394687614,W2162825485,2024
W4394687614,W2187089797,2024
W4394687614,W2158019369,2024
W4394687614,W3178561764,2024
W4394687614,W2984472267,2024
W4394687614,W3028131613,2024
W4394687614,W4297094730,2024
W4394687614,W4226109907,2024
W4394687614,W4389988539,2024
W4394687614,W3210362879,2024
W4394687614,W3196650609,2024
W4394687614,W2963749793,2024
W4394687614,W2163965546,2024
W4402571460,W1826790618,2024
W4402571460,W3131125794,2024
W4402571460,W4392402385,2024
W4402571460,W4387885660,2024
W4402571460,W2088323702,2024
W4402571460,W2346476940,2024
W4402571460,W2287322623,2024
W4402571460,W2815307792,2024
W4402571460,W1880262756,2024
W4402571460,W2995755016,2024
W4402571460,W6963498972,2024
W4402571460,W2029706109,2024
W4402571460,W4254491045,2024
W4402571460,W2238545866,2024
W4402571460,W6686785280,2024
W4402571460,W3196097720,2024
W4402571460,W2147152072,2024
W4402571460,W6755207826,2024
W4402571460,W6697071071,2024
W4402571460,W2975605169,2024
W4402571460,W2047752105,2024
W4402571460,W1571401318,2024
W4402571460,W2943863288,2024
W4402571460,W3046717556,2024
W4402571460,W2118527389,2024
W4402571460,W2086461919,2024
W4402571460,W2090679187,2024
W4402571460,W4223505724,2024
W4402571460,W6810311456,2024
W4402571460,W2909082693,2024
W4402571460,W3042697744,2024
W4402571460,W4382240291,2024
W4402571460,W4389988539,2024
W4402571460,W4388286168,2024
W4402571460,W2162825485,2024
W4402571460,W3099514962,2024
W4402571460,W1986442311,2024
W4402571460,W1920109711,2024
W4402571460,W1987269142,2024
W4402571460,W2104766360,2024
W4402571460,W2152825437,2024
W4402571460,W1544268587,2024
W4402571460,W6679775712,2024
W4402571460,W1902027874,2024
W4402571460,W1997780235,2024
W4402571460,W6640811197,2024
W4402571460,W2896302278,2024
W4402571460,W6748816842,2024
W4402571460,W2947771069,2024
W4402571460,W6636510571,2024
W4402571460,W4297461362,2024
W4402571460,W2012343510,2024
W4402571460,W2807795618,2024
W4402571460,W2395911969,2024
W4402571460,W4284970411,2024
W4402571460,W6732510986,2024
W4402571460,W4390033027,2024
W4402571460,W2971566752,2024
W4402571460,W6775172464,2024
W4402571460,W1927933524,2024
W4402571460,W2163965546,2024
W4402571460,W2119452648,2024
W4402571460,W4220975008,2024
W4402571460,W6601161491,2024
W4402571460,W3042939456,2024
W4402571460,W6675301171,2024
W4402571460,W2144100511,2024
W4402571460,W2610962473,2024
W4402571460,W2969700220,2024
W4402571460,W4385571801,2024
W4402571460,W4239741347,2024
W4402571460,W2542768043,2024
W4402571460,W4239908238,2024
W4402571460,W4387886076,2024
W4402571460,W3184973310,2024
W4402571460,W3204809439,2024
W4402592851,W2154391837,2024
W4402592851,W4237375617,2024
W4402592851,W2738446327,2024
W4402592851,W2054915926,2024
W4402592851,W3092753924,2024
W4402592851,W2039455098,2024
W4402592851,W2073800769,2024
W4402592851,W2916021615,2024
W4402592851,W2750661846,2024
W4402592851,W2752202880,2024
W4402592851,W2959416902,2024
W4402592851,W2969093670,2024
W4402592851,W2600662290,2024
W4402592851,W2297826358,2024
W4402592851,W2294962740,2024
W4402592851,W2044222306,2024
W4402592851,W2113081107,2024
W4402592851,W3147420708,2024
W4402592851,W2013996050,2024
W4402592851,W2941320055,2024
W4402592851,W2956106163,2024
W4402592851,W2903837810,2024
W4402592851,W2752648449,2024
W4402592851,W3184560090,2024
W4402592851,W1601004891,2024
W4402592851,W3160903453,2024
W4402592851,W2510507909,2024
W4402592851,W2910896796,2024
W4402592851,W3081850804,2024
W4402592851,W2066431640,2024
W4402592851,W3082686536,2024
W4402592851,W1953652583,2024
