id,year,total_citations
W2097057472,2008,6
W2104284394,2008,29
W2122250746,2008,1
W2101793629,2008,5
W2157451822,2008,3
W2162205142,2008,20
W2140504904,2008,19
W2293090538,2008,38
W2047752816,2008,5
W2141898977,2008,0
W2113539651,2008,3
W2142079034,2008,2
W2154127478,2008,1
W2165471068,2008,5
W2102495072,2008,14
W2165260332,2008,3
W2112269749,2008,16
W2140037310,2008,2
W2111400107,2008,17
W2131361270,2008,30
W2132545161,2008,1
W2098491773,2008,21
W2101950132,2008,14
W2123958742,2008,1
W2144716277,2008,7
W2152298929,2008,15
W2146694638,2008,1
W2128492388,2008,4
W2132523665,2008,2
W2138953494,2008,12
W2109515884,2008,1
W2163363303,2008,22
W2123415944,2008,15
W2106877482,2008,4
W2135704815,2008,8
W2097778683,2008,2
W2122140178,2008,4
W2128681085,2008,5
W2156846700,2008,7
W2127020419,2008,9
W2121158180,2008,0
W2146856698,2008,2
W2151886579,2008,2
W2165293022,2008,3
W2103750759,2008,1
W2162683368,2008,1
W2121976441,2008,5
W2092324702,2008,3
W2007038549,2008,0
W2152476202,2008,0
W1997148655,2008,8
W2001650796,2008,0
W2095510307,2008,0
W2007063660,2008,0
W2096837091,2008,0
W2013996050,2008,50
W1997901969,2008,21
W2041992301,2008,0
W2077290111,2008,10
W2017340207,2008,1
W2059580911,2008,0
W2142675951,2008,1
W2098964580,2008,0
W2082471240,2008,7
W2057950304,2008,1
W2096500864,2008,0
W2118801256,2008,0
W2103196512,2008,0
W2047544886,2008,0
W2066585363,2008,1
W2059907446,2008,14
W1990621772,2008,0
W2090239678,2008,6
W2060669545,2008,7
W2063340904,2008,6
W2069469539,2008,26
W2124091279,2008,2
W2142495500,2008,6
W2013194483,2008,4
W1967818433,2008,0
W2123540349,2008,1
W2122863437,2008,3
W2054376631,2008,0
W1975411458,2008,14
W2130438374,2008,18
W2055583132,2008,4
W2083455719,2008,0
W2113386367,2008,30
W2157169664,2008,3
W2157348185,2008,18
W2166530471,2008,14
W2108230739,2008,68
W2137561086,2008,15
W2104389146,2008,3
W2146055051,2008,9
W2148056538,2008,36
W2105535124,2008,12
W2162260630,2008,14
W2126585434,2008,9
W2143938010,2008,8
W2151249461,2008,5
W2115085978,2008,9
W2132774043,2008,21
W2122814890,2008,9
W2110080554,2008,79
W2046252734,2008,27
W2147997165,2008,53
W2139262486,2008,17
W2158943277,2008,15
W2156333468,2008,1
W2100045884,2008,4
W2029155494,2008,8
W2169444167,2008,2
W2164038168,2008,17
W2113384415,2008,6
W2129130427,2008,9
W2040355224,2008,2
W2004187107,2008,2
W2088806764,2008,3
W2024475066,2008,3
W2115890908,2008,13
W2090279383,2008,0
W1978876370,2008,0
W2150111840,2008,0
W2144469028,2008,2
W2153917784,2008,1
W2146731997,2008,4
W2135208092,2008,2
W1968607212,2008,1
W2042724135,2008,6
W1993766194,2008,15
W2094436977,2008,0
W2136496323,2008,3
W2158870854,2008,24
W2019428499,2008,5
W2072589092,2008,3
W2134573799,2008,1
W2007672091,2008,2
W2082571637,2008,2
W2117914897,2008,6
W2103963076,2008,2
W2130134933,2008,3
W2027322876,2008,4
W2156038957,2008,2
W2084627572,2008,0
W2099439276,2008,5
W1971988872,2008,0
W2100786833,2008,15
W2083209915,2008,3
W2126152274,2008,5
W2045273912,2008,1
W2116153763,2008,26
W2064854394,2008,15
W2159521238,2008,11
W2147053292,2008,2
W2097546366,2008,21
W2037909550,2008,2
W2045020574,2008,0
W2055948336,2008,12
W2000176158,2008,2
W2118632343,2008,0
W2156186295,2008,43
W2135779886,2007,5
W2108107042,2007,1
W2113171990,2007,5
W2100381092,2007,11
W2124199658,2007,28
W2150049246,2007,6
W2107160002,2007,28
W2158707602,2007,13
W2131556053,2007,13
W2144034286,2007,10
W2160677642,2007,2
W2159181935,2007,14
W2144916034,2007,2
W2112704855,2007,5
W2148461967,2007,2
W2154047670,2007,10
W2116154101,2007,13
W2139982105,2007,12
W2070784608,2007,23
W2123421747,2007,11
W1983948426,2007,27
W2098519781,2007,8
W1990419021,2007,30
W2142856765,2007,8
W2125141584,2007,6
W2130875484,2007,11
W2102098109,2007,8
W2101246814,2007,3
W2164223342,2007,21
W3151130557,2007,14
W2093903345,2007,33
W2094584087,2007,4
W2168318855,2007,7
W2127990234,2007,5
W4248481136,2007,59
W1977282698,2007,1
W2146695947,2007,23
W2108808118,2007,3
W2137215532,2007,5
W4250128948,2007,7
W2102165283,2007,2
W2132781340,2007,2
W2027356845,2007,2
W4242137558,2007,1
W4236983726,2007,2
W2145262290,2007,6
W2150085383,2007,65
W2125215841,2007,93
W2108458429,2007,46
W2115517714,2007,20
W2105894416,2007,10
W2145598348,2007,12
W2119828234,2007,100
W2150770193,2007,14
W2111347866,2007,71
W2165467901,2007,20
W2105552354,2007,58
W2152922709,2007,82
W2161133721,2007,126
W2105893525,2007,38
W2150014546,2007,12
W2112426855,2007,27
W2109650788,2007,12
W1601859143,2007,21
W2097216370,2007,8
W2119584770,2007,2
W1504523017,2007,7
W1500473479,2007,4
W1598669012,2007,7
W2285670967,2007,15
W2100112610,2007,20
W2144241057,2007,4
W1597839571,2007,1
W2154069299,2006,26
W2150415161,2006,17
W2112996167,2006,4
W2155222639,2006,16
W2107135270,2006,4
W2140700264,2006,12
W2148420597,2006,24
W2148715821,2006,7
W2136645720,2006,9
W2154503164,2006,25
W2134865795,2006,4
W2109968850,2006,13
W2129086861,2006,44
W2132933030,2006,11
W2147394532,2006,5
W2155417171,2006,7
W2131493622,2006,33
W2108896137,2006,8
W2162857739,2006,2
W2136614128,2006,14
W2069798399,2006,3
W2140293566,2006,10
W2168543113,2006,6
W2131263624,2006,5
W2034746304,2006,4
W2131548207,2006,30
W2152245018,2006,21
W2138350120,2006,7
W2167121457,2006,22
W2170061697,2006,11
W2145640629,2006,93
W2158378644,2006,23
W2128712108,2006,39
W2096070028,2006,21
W2001084593,2006,24
W2167306162,2006,46
W2106669190,2006,1
W2147823926,2006,20
W2111421274,2006,9
W2119193164,2006,10
W2020248080,2006,8
W2146279766,2006,15
W2097345819,2006,10
W1607158209,2006,3
W1510645397,2006,6
W2167302705,2006,5
W2134674390,2006,3
W2115304611,2006,6
W1520796046,2006,4
W1496931487,2006,4
W1602782632,2006,3
W2167889627,2006,6
W2099984385,2006,7
W1488041740,2006,6
W1725473968,2006,3
W2153039146,2006,40
W2056273964,2006,18
W2120573711,2005,13
W2128769229,2005,20
W2165003530,2005,6
W2140975946,2005,11
W2116938231,2005,15
W2171559156,2005,4
W2108805659,2005,5
W2170656593,2005,7
W2130190685,2005,7
W2134582901,2005,9
W2163713174,2005,11
W2158733641,2005,3
W2141439248,2005,6
W2142125191,2005,8
W2128968800,2005,6
