source,target,source_year
W2120290740,W2131421342,2005
W2120290740,W1973733286,2005
W2120290740,W2117698763,2005
W2120290740,W3149175271,2005
W2120290740,W2089200950,2005
W2120290740,W2158810451,2005
W2120290740,W118798689,2005
W2120290740,W2161834650,2005
W2120290740,W2087392335,2005
W2120290740,W2153040185,2005
W2120290740,W2149359100,2005
W2120290740,W2245379371,2005
W2120290740,W2136690777,2005
W2120290740,W3147744697,2005
W2120290740,W2149309906,2005
W2120290740,W2097279347,2005
W2120290740,W1515764844,2005
W2120290740,W2542199224,2005
W2120290740,W3146575037,2005
W2120290740,W2183551205,2005
W2120290740,W3142817669,2005
W2120573711,W2798110564,2005
W2120573711,W2015445915,2005
W2120573711,W4244115047,2005
W2120573711,W2129053762,2005
W2120573711,W2108205606,2005
W2120573711,W2080605277,2005
W2120573711,W2140415400,2005
W2120573711,W4233079276,2005
W2120573711,W3149652069,2005
W2120573711,W3139399400,2005
W2120573711,W2797466362,2005
W2120573711,W1492246439,2005
W2120573711,W2961481048,2005
W2120573711,W2083312936,2005
W2120573711,W2539955899,2005
W2120573711,W2047167129,2005
W2120573711,W2058566003,2005
W2120573711,W2154074774,2005
W2120573711,W1974600473,2005
W2120573711,W1520638270,2005
W2120573711,W1994606030,2005
W2120573711,W185627682,2005
W2120573711,W1565302540,2005
W2120573711,W1978819622,2005
W2128769229,W2162951265,2005
W2128769229,W2066057304,2005
W2128769229,W2029129133,2005
W2128769229,W2119828687,2005
W2128769229,W2104648869,2005
W2128769229,W2083586903,2005
W2128769229,W2147545324,2005
W2128769229,W2039236219,2005
W2128769229,W1988552531,2005
W2128769229,W2080145017,2005
W2128769229,W2123275639,2005
W2128769229,W2011658854,2005
W2128769229,W2107464713,2005
W2128769229,W126840538,2005
W2128769229,W2145347746,2005
W2128769229,W2125814444,2005
W2128769229,W3138447845,2005
W2128769229,W2160747282,2005
W2128769229,W178139908,2005
W2128769229,W2079745210,2005
W2128769229,W2079321774,2005
W2128769229,W2027263242,2005
W2128769229,W2148843387,2005
W2128769229,W2139595304,2005
W2128769229,W2295382923,2005
W2128769229,W1985289718,2005
W2128769229,W2107453215,2005
W2128769229,W2001127164,2005
W2128769229,W3152230474,2005
W2128769229,W2152935971,2005
W2128769229,W2075264427,2005
W2128769229,W2165401058,2005
W2128769229,W2161380000,2005
W2128769229,W2008670488,2005
W2128769229,W2119474986,2005
W2116414418,W2101630196,2005
W2116414418,W2009357400,2005
W2116414418,W1490482062,2005
W2116414418,W2221292738,2005
W2116414418,W2114448792,2005
W2116414418,W2237155658,2005
W2116414418,W2141097020,2005
W2116414418,W2135710634,2005
W2116414418,W2170383706,2005
W2116414418,W2163053309,2005
W2116414418,W2147230585,2005
W2122281356,W1977985650,2005
W2122281356,W2131331818,2005
W2122281356,W2129585587,2005
W2122281356,W2158001958,2005
W2122281356,W2028749049,2005
W2122281356,W2054860660,2005
W2122281356,W2112829430,2005
W2122281356,W2150593711,2005
W2122281356,W3149364623,2005
W2122281356,W2107543187,2005
W2122281356,W1526283160,2005
W2122281356,W2068264968,2005
W2122281356,W2052789583,2005
W2122281356,W3144586438,2005
W2122281356,W2105573319,2005
W2122281356,W2095065913,2005
W2122281356,W1986049249,2005
W2122281356,W2082587251,2005
W2122281356,W2153706058,2005
W2122281356,W2142527436,2005
W2122281356,W3147441889,2005
W2122281356,W2336705671,2005
W2122281356,W3146052257,2005
W2122281356,W2127492694,2005
W2122281356,W2020570805,2005
W2122281356,W2532506824,2005
W2122281356,W3140845385,2005
W2122281356,W88623519,2005
W2122281356,W2113634802,2005
W2146795709,W2170120409,2005
W2146795709,W1573748084,2005
W2146795709,W1971719398,2005
W2146795709,W1565245011,2005
W2146795709,W2157070558,2005
W2146795709,W2000690667,2005
W2146795709,W2294154448,2005
W2146795709,W1567645672,2005
W2146795709,W2292976057,2005
W2146795709,W2117741646,2005
W2146795709,W1979201121,2005
W2120432848,W2287868938,2005
W2120432848,W1967490599,2005
W2120432848,W123479524,2005
