source,target,source_year
W3092216788,W1518156650,2020
W3092216788,W2138199375,2020
W3092216788,W1981571906,2020
W3092216788,W2294798173,2020
W3092216788,W2807795618,2020
W3092216788,W2769829698,2020
W3092216788,W2053186076,2020
W3092216788,W2020248080,2020
W3092216788,W2029032412,2020
W3092216788,W1972833765,2020
W3092216788,W2960741261,2020
W3092216788,W2005515608,2020
W3092216788,W2096739311,2020
W3092216788,W2026662997,2020
W3092216788,W2071128523,2020
W3092216788,W2022666585,2020
W3092216788,W2152825437,2020
W3092216788,W2125981337,2020
W3092216788,W2157125360,2020
W3092216788,W2787154907,2020
W3092216788,W2982800447,2020
W3092216788,W1752598806,2020
W3092216788,W2753396776,2020
W3092216788,W2071601050,2020
W3092216788,W2099320718,2020
W3092216788,W2137570937,2020
W3092216788,W2117161218,2020
W3092216788,W2161381700,2020
W3092216788,W2038096128,2020
W3092216788,W2109807592,2020
W3092216788,W2620275924,2020
W3092216788,W1998653339,2020
W3092216788,W2258834670,2020
W3092216788,W2028184537,2020
W3092216788,W2167144079,2020
W3092216788,W2943864384,2020
W3092216788,W2055717422,2020
W3092216788,W2593472651,2020
W3092216788,W2108438390,2020
W3092216788,W6691804791,2020
W3092216788,W2166953159,2020
W3092216788,W2118136026,2020
W3092216788,W2109503531,2020
W3092216788,W1588957466,2020
W3092216788,W2001141328,2020
W3092216788,W2083278075,2020
W3092216788,W2053059880,2020
W3092216788,W1998367480,2020
W3092216788,W2155843307,2020
W3092216788,W3016222273,2020
W3092216788,W2255903209,2020
W3092216788,W2151530263,2020
W3092216788,W2922024535,2020
W3092216788,W1939177925,2020
W3092216788,W2106814120,2020
W3092216788,W2187089797,2020
W3092216788,W2412247133,2020
W3118966158,W2023098599,2020
W3118966158,W6623968662,2020
W3118966158,W2943863288,2020
W3118966158,W2755790450,2020
W3118966158,W2085369494,2020
W3118966158,W2412621597,2020
W3118966158,W6779211498,2020
W3118966158,W2797362731,2020
W3118966158,W2943864384,2020
W3118966158,W2289831356,2020
W3118966158,W2993240610,2020
W3118966158,W2098136992,2020
W3118966158,W2037789405,2020
W3118966158,W2086886525,2020
W3118966158,W2116447934,2020
W3118966158,W2751630302,2020
W3118966158,W2952667803,2020
W3118966158,W2469514293,2020
W3118966158,W2111347866,2020
W3118966158,W6601609194,2020
W3118966158,W1968648267,2020
W3118966158,W6726873649,2020
W3118966158,W2949156281,2020
W3118966158,W3023413531,2020
W3118966158,W2888425844,2020
W3118966158,W2217442075,2020
W3118966158,W2965258235,2020
W3118966158,W2098089028,2020
W3118966158,W2751305043,2020
W3118966158,W2052209137,2020
W3118966158,W6758782652,2020
W3118966158,W2160137030,2020
W3118966158,W2515822248,2020
W3118966158,W2166953159,2020
W3118966158,W2157289187,2020
W3118966158,W2161307069,2020
W3118966158,W2150231912,2020
W3118966158,W6738964360,2020
W3118966158,W2773695849,2020
W3118966158,W2114566476,2020
W3118966158,W2052072249,2020
W3118966158,W2032005951,2020
W3118966158,W2030246490,2020
W3118966158,W2962756421,2020
W3118966158,W2971083425,2020
W3118966158,W4235019172,2020
W3118966158,W2983299074,2020
W3118966158,W2008946411,2020
W3118966158,W2008505918,2020
W3118966158,W2899831870,2020
W3118966158,W2104812688,2020
W3118966158,W2152336513,2020
W3118966158,W2032161135,2020
W3118966158,W2517066960,2020
W3118966158,W2503325364,2020
W3118966158,W2139770987,2020
W3118966158,W2751731070,2020
W3118966158,W2942243860,2020
W3118966158,W2519851048,2020
W3118966158,W2079315514,2020
W3118966158,W4240492454,2020
W3118966158,W1999976769,2020
W3118966158,W2805695370,2020
W3118966158,W2094234423,2020
W3118966158,W6747581376,2020
W3118966158,W3101413764,2020
W3118966158,W2109248504,2020
W3118966158,W2783535593,2020
W3118966158,W2500960910,2020
W3118966158,W2074097214,2020
W3118966158,W2032779105,2020
W3118966158,W6681249710,2020
W3118966158,W3011667710,2020
W3118966158,W2402245555,2020
W3118966158,W2287322623,2020
W3118966158,W2412593044,2020
W3118966158,W6637358919,2020
W3118966158,W1983359980,2020
W3118966158,W2118153741,2020
W3118966158,W2135415614,2020
W3118966158,W2963224980,2020
W3118966158,W2247194094,2020
W3118966158,W1623698862,2020
W3118966158,W2510750606,2020
W3118966158,W3005202040,2020
W3118966158,W2166660524,2020
W3118966158,W2963093613,2020
W3118966158,W2080526455,2020
W3118966158,W2991388718,2020
W3118966158,W1993436046,2020
W3118966158,W2506678472,2020
W3118966158,W1939177925,2020
W3118966158,W2962767366,2020
W3118966158,W4294558607,2020
W3118966158,W2963779927,2020
W3118966158,W745779314,2020
W3118966158,W2964015378,2020
W3118966158,W38619841,2020
W3118966158,W2141986476,2020
W3118966158,W2950533047,2020
W3118966158,W3032178258,2020
W3118966158,W2913155064,2020
W3118966158,W2542889218,2020
W3118966158,W2519887557,2020
W3118966158,W880392029,2020
W3118966158,W2755088640,2020
W3118966158,W2963512530,2020
W3118966158,W3093787058,2020
W3118966158,W2774217687,2020
W3091850269,W2921712231,2020
W3091850269,W2791826055,2020
W3091850269,W2892051885,2020
W3091850269,W2158453355,2020
W3091850269,W2395579298,2020
W3091850269,W2956281901,2020
W3091850269,W2913615284,2020
W3091850269,W2751722336,2020
W3091850269,W2972236817,2020
W3091850269,W2587299461,2020
W3091850269,W2753713840,2020
W3091850269,W6682132143,2020
W3091850269,W2965892258,2020
W3091850269,W2758760553,2020
W3091850269,W3015926775,2020
W3091850269,W2964089344,2020
W3091850269,W2343061342,2020
W3091850269,W2752332392,2020
W3091850269,W2897083899,2020
W3091850269,W2888685797,2020
W3091850269,W2512274390,2020
W3091850269,W2962858109,2020
W3091850269,W6637542466,2020
W3091850269,W6753304838,2020
W3091850269,W2618530766,2020
W3091850269,W2965446359,2020
W3091850269,W2394669110,2020
W3091850269,W2963123635,2020
W3091850269,W2752194699,2020
W3091850269,W2804604520,2020
W3091850269,W2127058057,2020
W3091850269,W6754002923,2020
W3091850269,W6823799657,2020
W3091850269,W2473418344,2020
