id,year,total_citations
W1995613787,2017,7
W2126741784,2010,2
W2152391571,2010,0
W2137197875,2010,16
W2114651926,2010,32
W2126846369,2010,8
W2117174931,2010,5
W2169705202,2010,1
W2163339655,2010,2
W2143725990,2010,4
W1969539460,2010,0
W2141827635,2010,9
W2132385828,2010,3
W2170854835,2010,4
W2171366071,2010,18
W2158764709,2010,0
W2101875746,2010,4
W2166261239,2010,11
W2167011559,2010,1
W2046714461,2010,9
W2117299321,2010,0
W2106366041,2010,2
W2166090580,2010,7
W2164616135,2010,7
W2122118920,2010,0
W2154393589,2010,12
W2156204145,2010,45
W2119690161,2010,5
W2109119561,2010,1
W2155138741,2010,0
W2147062644,2010,36
W2142972337,2010,3
W2156876700,2010,3
W2134142311,2010,0
W2135100707,2010,19
W2159936057,2010,27
W2098942126,2010,5
W2113323428,2010,3
W2059972655,2010,13
W2101099609,2010,9
W2046927964,2010,1
W2145496215,2010,5
W2144968255,2010,22
W2105955555,2010,5
W2151882909,2010,7
W2097161744,2010,3
W2158438371,2010,0
W2294831722,2010,31
W2072566697,2010,3
W2018707464,2010,0
W2014973761,2010,0
W2029945175,2010,0
W2045585337,2010,7
W2026971181,2010,0
W2039488353,2010,2
W2006284054,2010,10
W2167538453,2010,6
W2001487069,2010,18
W1985772331,2010,1
W2083433035,2010,3
W1996937933,2010,0
W2010458723,2010,0
W1981325128,2010,23
W1963502684,2010,5
W1968279602,2010,1
W1973260888,2010,0
W1976606085,2010,9
W2027714334,2010,16
W2020369652,2010,11
W2085466647,2010,16
W2030391899,2010,8
W2056618433,2010,3
W2080417696,2010,36
W1993113287,2010,0
W2059542885,2010,6
W2029661605,2010,5
W2073498395,2010,0
W2052795114,2010,0
W2057272667,2010,0
W2036093426,2010,9
W339572299,2010,0
W1979863690,2010,17
W2003933781,2010,0
W1966457016,2010,13
W2025804044,2010,8
W2129892540,2010,5
W1997955001,2010,1
W1977235654,2010,1
W1963824676,2010,0
W2042215831,2010,10
W2109857088,2010,25
W2171575586,2010,23
W2158711339,2010,21
W2157689946,2010,9
W2123580097,2010,7
W2130154693,2010,20
W2116904179,2010,18
W2169112940,2010,29
W2108713782,2010,51
W2147377564,2010,4
W2156440763,2010,49
W2137725097,2010,6
W2141558464,2010,11
W2146266364,2010,18
W2129815685,2010,37
W2168705291,2010,15
W2157900633,2010,123
W2295609766,2010,10
W2133498673,2010,15
W2109727435,2010,30
W2141466899,2010,1
W2133571633,2010,16
W2106080720,2010,10
W2152460728,2010,15
W2130247386,2010,16
W2170910862,2010,11
W2133934472,2010,11
W2107416618,2010,4
W2126927905,2010,15
W2117006370,2010,26
W2128470028,2010,3
W2144705142,2010,0
W2139079167,2010,9
W2120294815,2010,11
W1969581814,2010,10
W2028753963,2010,12
W2119981497,2010,0
W1972316918,2010,2
W2131433745,2010,5
W2038430224,2010,2
W2000830796,2010,7
W2110457937,2010,8
W2072965894,2010,4
W2135981746,2010,6
W2161171934,2010,2
