conference,year,title,doi,abstract,authorNamesDeduped,award,accessible,early,resources,link,oa_title,oa_openalex_id,oa_doi,oa_cited_by_count,oa_publication_year,oa_referenced_works,oa_id_valid,oa_doi_valid,doi_valid,title_similarity,oa_referenced_works_parsed,ref_count,year_consistent,author_overlap,valid_score,valid_record
Vis,2025,An Intelligent Interactive Visual Analytics System for Exploring Large and Multi-Scale Pathology Images,EARLY_ACCESS/3ca02fd1-d387-44fa-b576-413ea269d949,"Pathology images are crucial for cancer diagnosis and treatment. Although artificial intelligence has driven rapid advancements in pathology image analysis, the interpretation of ultra-large and multi-scale pathology images in clinical practice still heavily relies on physicians' experience. Clinicians need to repeatedly zoom in and out on individual slides to compare and assess pathological details — a process that is both time-consuming and prone to visual fatigue. The system first employs a diffusion model to perform tissue segmentation on pathology images, then calculates pathological tissue proportions and morphological metrics. Finally, through multi-scale dynamic comparison and multi-level visual evaluation, the system facilitates comprehensive and precise analysis of pathology images. The system provides clinicians with an intelligent and interactive tool for pathology image interpretation, enabling efficient visualization and precise analysis of pathological details, thereby reducing the effort require for detailed analysis.",Chaoqing Xu;Ruiqi Yang;Weihan Li;Xinyuan Fu;Liting Fang;Zunlei Feng;Can Wang;Mingli Song;Wei Chen,,,True,O,https://vispubs.com/?paper=EARLY_ACCESS%2F3ca02fd1-d387-44fa-b576-413ea269d949,An Intelligent Interactive Visual Analytics System for Exploring Large and Multi-Scale Pathology Images,,,,,,False,False,False,1.0,[],0,False,0.0,1,False
Vis,2025,BDIViz: An Interactive Visualization System for Biomedical Schema Matching with LLM-Powered Validation,EARLY_ACCESS/e8f720e9-fa87-43c1-9d57-b8cc150f3cd3,"Biomedical data harmonization is essential for enabling exploratory analyses and meta-studies, but the process of schema matching—identifying semantic correspondences between elements of disparate datasets (schemas)—remains a labor-intensive and error-prone task. Even state-of-the-art automated methods often yield low accuracy when applied to biomedical schemas due to the large number of attributes and nuanced semantic differences between them. We present BDIViz, a novel visual analytics system designed to streamline the schema matching process for biomedical data. Through formative studies with domain experts, we identified key requirements for an effective solution and developed interactive visualization techniques that address both scalability challenges and semantic ambiguity. BDIViz employs an ensemble approach that combines multiple matching methods with LLM-based validation, summarizes matches through interactive heatmaps, and provides coordinated views that enable users to quickly compare attributes and their values. Our method-agnostic design allows the system to integrate various schema matching algorithms and adapt to application-specific needs. Through two biomedical case studies and a within-subject user study with  domain experts, we demonstrate that BDIViz significantly improves matching accuracy while reducing cognitive load and curation time compared to baseline approaches.",Eden Wu;Dishita Turakhia;Guande Wu;Christos Koutras;Sarah Keegan;Wenke Liu;Beata Szeitz;David Fenyo;Claudio Silva;Juliana Freire,,True,True,P;C;O,https://vispubs.com/?paper=EARLY_ACCESS%2Fe8f720e9-fa87-43c1-9d57-b8cc150f3cd3,BDIViz: An Interactive Visualization System for Biomedical Schema Matching with LLM-Powered Validation,,,,,,False,False,False,1.0,[],0,False,0.0,1,False
Vis,2025,Causality-based Visual Analytics of Sentiment Contagion in Social Media Topics,EARLY_ACCESS/bf2f93ab-ab67-4a81-8726-6819e84553be,"Sentiment contagion occurs when attitudes toward one topic are influenced by attitudes toward others.
Detecting and understanding this phenomenon is essential for analyzing topic evolution and informing social policies.
Prior research has developed models to simulate the contagion process through hypothesis testing and has visualized user–topic correlations to aid comprehension.
Nevertheless, the vast volume of topics and the complex interrelationships on social media present two key challenges: (1) efficient construction of large-scale sentiment contagion networks, and (2) in-depth explorations of these networks.
To address these challenges, we introduce a causality-based framework that efficiently constructs and explains sentiment contagion.
We further propose a map-like visualization technique that encodes time using a horizontal axis, enabling efficient visualization of causality-based sentiment flow while maintaining scalability through limitless spatial segmentation.
Based on the visualization, we develop CausalMap, a system that supports analysts in tracing sentiment contagion pathways and assessing the influence of different demographic groups.
Furthermore, we conduct comprehensive evaluations——including two use cases, a task-based user study, an expert interview, and an algorithm evaluation——to validate the usability and effectiveness of our approach.",Renzhong Li;Shuainan Ye;Yuchen Lin;Buwei Zhou;Zhining Kang;Tai-Quan Peng;Wenhao Fu;Tan Tang;Yingcai Wu,BP,,True,O,https://vispubs.com/?paper=EARLY_ACCESS%2Fbf2f93ab-ab67-4a81-8726-6819e84553be,Causality-based Visual Analytics of Sentiment Contagion in Social Media Topics,,,,,,False,False,False,1.0,[],0,False,0.0,1,False
Vis,2025,CD-TVD:Contrastive Diffusion for 3D Super-Resolution with Scarce High-Resolution Time-Varying Data,EARLY_ACCESS/4161480d-1e23-4eed-be76-3953fac207b7,"Large-scale scientific simulations require significant resources to generate high-resolution time-varying data (TVD). While super-resolution is an efficient post-processing strategy to reduce costs, existing methods rely on a large amount of HR training data, limiting their applicability to diverse simulation scenarios. To address this constraint, we proposed CD-TVD, a novel framework that combines contrastive learning and an improved diffusion-based super-resolution model to achieve accurate 3D super-resolution from limited time-step high-resolution data. During pre-training on historical simulation data, the contrastive encoder and diffusion super-resolution modules learn degradation patterns and detailed features of high-resolution and low-resolution samples. In the training phase, the improved diffusion model with a local attention mechanism is fine-tuned using only one newly generated high-resolution timestep, leveraging the degradation knowledge learned by the encoder. This design minimizes the reliance on large-scale high-resolution datasets while maintaining the capability to recover fine-grained details. Experimental results on fluid and atmospheric simulation datasets confirm that CD-TVD delivers accurate and resource-efficient 3D super-resolution, marking a significant advancement in data augmentation for large-scale scientific simulations. The code is available at https://github.com/Xin-Gao-private/CD-TVD.",Chongke Bi;Xin Gao;Jiakang Deng;Guan Li;Jun Han,HM,True,True,P;O,https://vispubs.com/?paper=EARLY_ACCESS%2F4161480d-1e23-4eed-be76-3953fac207b7,CD-TVD:Contrastive Diffusion for 3D Super-Resolution with Scarce High-Resolution Time-Varying Data,,,,,,False,False,False,1.0,[],0,False,0.0,1,False
Vis,2025,Conch: Competitive Debate Analysis via Visualizing Clash Points and Hierarchical Strategies,EARLY_ACCESS/da138859-6a6c-4df2-813b-6a70e20d04a1,"In-depth analysis of competitive debates is essential for participants to develop argumentative skills and refine strategies, and further improve their debating performance. However, manual analysis of unstructured and unlabeled textual records of debating is time-consuming and ineffective, as it is challenging to reconstruct contextual semantics and track logical connections from raw data. To address this, we propose Conch, an interactive visualization system that systematically analyzes both what is debated and how it is debated. In particular, we propose a novel parallel spiral visualization that compactly traces the multidimensional evolution of clash points and participant interactions throughout debate process. In addition, we leverage large language models with well-designed prompts to automatically identify critical debate elements such as clash points, disagreements, viewpoints, and strategies, enabling participants to understand the debate context comprehensively. Finally, through two case studies on real-world debates and a carefully-designed user study, we demonstrate Conch's effectiveness and usability for competitive debate analysis.",Qianhe Chen;Yong WANG;Yixin Yu;Xiyuan Zhu;Xuerou Yu;Ran Wang,,True,True,PW;P;O,https://vispubs.com/?paper=EARLY_ACCESS%2Fda138859-6a6c-4df2-813b-6a70e20d04a1,Conch: Competitive Debate Analysis via Visualizing Clash Points and Hierarchical Strategies,,,,,,False,False,False,1.0,[],0,False,0.0,1,False
Vis,2025,"Data Speaks, But Who Gives It a Voice? Understanding Persuasive Strategies in Data-Driven News Articles",EARLY_ACCESS/9e9a15b7-6ccb-4419-b391-e82e3bd8b907,"Data-driven news articles combine narrative storytelling with data visualizations to inform and influence public opinion on pressing societal issues. These articles often employ persuasive strategies, which are rhetorical techniques in narrative framing, visual rhetoric, or data presentation, to influence audience interpretation and opinion formation regarding information communication. While previous research has examined whether and when data visualizations persuade, the strategic choices made by persuaders remain largely unexplored. Addressing this gap, our work presents a taxonomy of persuasive strategies grounded in psychological theories and expert insights, categorizing 15 strategies across five dimensions: Credibility, Guided Interpretation, Reference-based Framing, Emotional Appeal, and Participation Invitation. To facilitate large-scale analysis, we curated a dataset of 936 data-driven news articles annotated with both persuasive strategies and their perceived effects. Leveraging this corpus, we developed a multimodal, multi-task learning model that jointly predicts the presence of persuasive strategies and their persuasive effects by incorporating both embedded (text and visualization) and explicit (visual narrative and psycholinguistic) features. Our evaluation demonstrates that our model outperforms state-of-the-art baselines in identifying persuasive strategies and measuring their effects.",Zikai Li;Chuyi Zheng;Ziang Li;Yang Shi,,,True,O,https://vispubs.com/?paper=EARLY_ACCESS%2F9e9a15b7-6ccb-4419-b391-e82e3bd8b907,"Data Speaks, But Who Gives It a Voice? Understanding Persuasive Strategies in Data-Driven News Articles",,,,,,False,False,False,1.0,[],0,False,0.0,1,False
Vis,2025,DeepVIS: Bridging Natural Language and Data Visualization Through Step-wise Reasoning,EARLY_ACCESS/f4073f80-c0bd-4d83-9c72-3dcfd060ef7f,"Although data visualization is powerful for revealing patterns and communicating insights, creating effective visualizations requires familiarity with authoring tools and often disrupts the analysis flow. While large language models show promise for automatically converting analysis intent into visualizations, existing methods function as black boxes without transparent reasoning processes, which prevents users from understanding design rationales and refining suboptimal outputs. To bridge this gap, we propose integrating Chain-of-Thought (CoT) reasoning into the Natural Language to Visualization (NL2VIS) pipeline. First, we design a comprehensive CoT reasoning process for NL2VIS and develop an automatic pipeline to equip existing datasets with structured reasoning steps. Second, we introduce nvBench-CoT, a specialized dataset capturing detailed step-by-step reasoning from ambiguous natural language descriptions to finalized visualizations, which enables state-of-the-art performance when used for model fine-tuning. Third, we develop DeepVIS, an interactive visual interface that tightly integrates with the CoT reasoning process, allowing users to inspect reasoning steps, identify errors, and make targeted adjustments to improve visualization outcomes. Quantitative benchmark evaluations, two use cases, and a user study collectively demonstrate that our CoT framework effectively enhances NL2VIS quality while providing insightful reasoning steps to users.",Zhihao Shuai;Boyan LI;siyu yan;Yuyu Luo;Weikai Yang,,,True,P;C;O,https://vispubs.com/?paper=EARLY_ACCESS%2Ff4073f80-c0bd-4d83-9c72-3dcfd060ef7f,DeepVIS: Bridging Natural Language and Data Visualization Through Step-wise Reasoning,,,,,,False,False,False,1.0,[],0,False,0.0,1,False
Vis,2025,DKMap: Interactive Exploration of Vision-Language Alignment in Multimodal Embeddings via Dynamic Kernel Enhanced Projection,EARLY_ACCESS/3d649242-7596-4300-84fe-793b6a69b69c,"Examining vision-language alignment in multimodal embeddings is crucial for various tasks, such as evaluating generative models and filtering pretraining data. The intricate nature of high-dimensional features necessitates dimensionality reduction (DR) methods to explore alignment of multimodal embeddings. However, existing DR methods fail to account for cross-modal alignment metrics, resulting in severe occlusion of points with divergent metrics clustered together, inaccurate contour maps from over-aggregation, and insufficient support for multi-scale exploration. To address these problems, this paper introduces DKMap, a novel DR visualization technique for interactive exploration of multimodal embeddings through Dynamic Kernel enhanced projection. First, rather than performing dimensionality reduction and contour estimation sequentially, we introduce a kernel regression supervised t-SNE that directly integrates post-projection contour mapping into the projection learning process, ensuring cross-modal alignment mapping accuracy. Second, to enable multi-scale exploration with dynamic zooming and progressively enhanced local detail, we integrate validation-constrained α refinement of a generalized t-kernel with quad-tree-based multi-resolution technique, ensuring reliable kernel parameter tuning without overfitting. DKMap is implemented as a multi-platform visualization tool, featuring a web-based system for interactive exploration and a Python package for computational notebook analysis. Quantitative comparisons with baseline DR techniques demonstrate DKMap’s superiority in accurately mapping cross-modal alignment metrics. We further demonstrate generalizability and scalability of DKMap with three usage scenarios, including visualizing million-scale text-to-image corpus, comparatively evaluating generative models, and exploring a billion-scale pretraining dataset.",Yilin Ye;Chenxi Ruan;Yu Zhang;Zikun Deng;Wei Zeng,,,True,C;O,https://vispubs.com/?paper=EARLY_ACCESS%2F3d649242-7596-4300-84fe-793b6a69b69c,DKMap: Interactive Exploration of Vision-Language Alignment in Multimodal Embeddings via Dynamic Kernel Enhanced Projection,,,,,,False,False,False,1.0,[],0,False,0.0,1,False
Vis,2025,EmbryoProfiler: A Visual Clinical Decision Support System for IVF,EARLY_ACCESS/28a70097-2b4f-4ac5-9bb0-7b452093c16b,"In-vitro fertilization (IVF) has become standard practice to address infertility, which affects more than one in ten couples in the US. However, current protocols yield relatively low success rates of about 20% per treatment cycle. A critical but complex and time-consuming step is the grading and selection of embryos for implantation. Although incubators with time-lapse microscopy have enabled computational analysis of embryo development, existing automated approaches either require extensive manual annotations or use opaque deep learning models that are hard for clinicians to validate and trust. We present EmbryoProfiler, a visual analytics system collaboratively developed with embryologists, biologists, and machine learning researchers to support clinicians in visually assessing embryo viability from time-lapse microscopy imagery. Our system incorporates a deep learning pipeline that automatically annotates microscopy images and extracts clinically interpretable features relevant for embryo grading. Our contributions include: (1) a semi-automatic, visualization-based workflow that guides clinicians through fertilization assessment, developmental timing evaluation, morphological inspection, and comparative analysis of embryos; (2) innovative interactive visualizations, such as cell-shape plots, designed to facilitate efficient analysis of morphological and developmental characteristics; and (3) an integrated, explainable machine learning classifier offering transparent, clinically-informed embryo viability scoring to predict live birth outcomes. Quantitative evaluation of our classifier and qualitative case studies conducted with practitioners demonstrate that EmbryoProfiler enables clinicians to make better-informed embryo selection decisions, potentially leading to improved clinical outcomes in IVF treatments.",Johannes Knittel;Simon Warchol;Jakob Troidl;Camelia D. Brumar;Helen Yang;Eric Mörth;Robert Krüger;Daniel Needleman;Dalit Ben-Yosef;Hanspeter Pfister,,,True,O,https://vispubs.com/?paper=EARLY_ACCESS%2F28a70097-2b4f-4ac5-9bb0-7b452093c16b,EmbryoProfiler: A Visual Clinical Decision Support System for IVF,,,,,,False,False,False,1.0,[],0,False,0.0,1,False
Vis,2025,Evaluating judgements of spatial correlation in visual displays of scalar field distributions,EARLY_ACCESS/14e8969b-dbaf-41b3-8330-a0decc6b53b0,"In this work we study the identification of spatial correlation in distributions of 2D scalar fields, presented across different forms of visual displays. We study simple visual displays that directly show color-mapped scalar fields, namely those drawn from a distribution, and whether humans can identify strongly correlated spatial regions in these displays. In this setting, the recognition of correlation requires making judgments on a set of fields, rather than just one field. Thus, in our experimental design we compare two basic visualization designs: animation-based displays against juxtaposed views of scalar fields, along different choices of color scales. Moreover, we investigate the impacts of the distribution itself, controlling for the level of spatial correlation and discriminability in spatial
scales. Our study’s results illustrate the impacts of these distribution characteristics, while also highlighting how different visual displays impact the types of judgments made in assessing spatial correlation. Supplemental material is available at https://osf.io/zn4qy/",Yayan Zhao;Matthew Berger,,,True,P;O,https://vispubs.com/?paper=EARLY_ACCESS%2F14e8969b-dbaf-41b3-8330-a0decc6b53b0,Evaluating judgements of spatial correlation in visual displays of scalar field distributions,,,,,,False,False,False,1.0,[],0,False,0.0,1,False
Vis,2025,Exploring 3D Unsteady Flow using 6D Observer Space Interactions,EARLY_ACCESS/fb22d5c6-8a2f-4d98-80ec-1fbbfed18538,"Visualizing and analyzing 3D unsteady flow fields is a very challenging task.
We approach this problem by leveraging the mathematical foundations of 3D observer fields to explore and analyze 3D flows in reference frames that are more suitable to visual analysis than the input reference frame.
We design novel interactive tools for determining, filtering, and combining reference frames for observer-aware 3D unsteady flow visualization. We represent the space of reference frame motions in a 3D spatial domain via a 6D parameter space, in which every observer is a time-dependent curve. Our framework supports operations in this 6D observer space by separately focusing on two 3D subspaces, for 3D translations, and 3D rotations, respectively. We show that this approach facilitates a variety of interactions with 3D flow fields.
Building on the interactive selection of observers, we furthermore introduce novel techniques such as observer-aware streamline- and pathline-filtering as well as observer-aware isosurface animations of scalar fluid properties for the enhanced visualization and analysis of 3D unsteady flows.
We discuss the theoretical underpinnings as well as practical implementation considerations of our approach, and demonstrate the benefits of its 6+1D observer-based methodology on several 3D unsteady flow datasets.",Xingdi Zhang;Amani Ageeli;Thomas Theußl;Markus Hadwiger;Peter Rautek,HM,True,True,P;C;O,https://vispubs.com/?paper=EARLY_ACCESS%2Ffb22d5c6-8a2f-4d98-80ec-1fbbfed18538,Exploring 3D Unsteady Flow using 6D Observer Space Interactions,,,,,,False,False,False,1.0,[],0,False,0.0,1,False
Vis,2025,Eye of the Beholder: Towards Measuring Visualization Complexity,EARLY_ACCESS/a610d354-3cae-4df3-ac69-db5a5a7572a6,"Constructing expressive and legible visualizations is a key activity for visualization designers.While numerous design guidelines exist, research on how specific graphical features affect perceived visual complexity remains limited. In this paper, we report on a crowdsourced study to collect human ratings of perceived complexity for diverse visualizations. Using these ratings as ground truth, we then evaluated three methods to estimate this perceived complexity: image analysis metrics, multilinear regression using manually coded visualization features, and automated feature extraction using a large language model (LLM). Image complexity metrics showed no correlation with human-perceived visualization complexity. Manual feature coding produced a reasonable predictive model but required substantial effort. In contrast, a zero-shot LLM (GPT-4o mini) demonstrated strong capabilities in both rating complexity and extracting relevant features. Our findings suggest that visualization complexity is truly in the eye of the beholder, yet can be effectively approximated using zero-shot LLM prompting, offering a scalable approach for evaluating the complexity of visualizations. The dataset and code for the study and data analysis can be found at https://osf.io/w85a4/.",Johannes Ellemose;Niklas Elmqvist,,True,True,O,https://vispubs.com/?paper=EARLY_ACCESS%2Fa610d354-3cae-4df3-ac69-db5a5a7572a6,Eye of the Beholder: Towards Measuring Visualization Complexity,,,,,,False,False,False,1.0,[],0,False,0.0,1,False
Vis,2025,F^2Stories: A Modular Framework for Multi-Objective Optimization of Storylines with a Focus on Fairness,EARLY_ACCESS/bbfc6b4e-96d6-4981-87da-8bb285d256dc,"Storyline visualizations represent character interactions over time. When these characters belong to different groups, a new research question emerges: how can we balance optimization of readability across the groups while preserving the overall narrative structure of the story? Traditional algorithms that optimize global readability metrics (like minimizing crossings) can introduce quality biases between the different groups based on their cardinality and other aspects of the data. Visual consequences of these biases are: making characters of minority groups disproportionately harder to follow, and visually deprioritizing important characters when their curves become entangled with numerous secondary characters. We present F2Stories, a modular framework that addresses these challenges in storylines by offering three complementary optimization modes: (1) fairnessMode ensures that no group bears a disproportionate burden of visualization complexity regardless of their representation in the story; (2) focusMode allows prioritizing a group of characters while maintaining good readability for secondary characters; and (3) standardMode globally optimizes classical aesthetic metrics. Our approach is based on Mixed Integer Linear Programming (MILP), offering optimality guarantees, precise balancing of competing metrics through weighted objectives, and the flexibility to incorporate complex fairness concepts as additional constraints without the need to redesign the entire algorithm. We conducted an extensive experimental analysis to demonstrate how F2Stories enables more fair or focus group-prioritized storyline visualizations while maintaining adherence to established layout constraints. Our evaluation includes comprehensive results from a detailed case study that shows the effectiveness of our approach in real-world narrative contexts. An open access copy of this paper and all supplemental materials are available at https://osf.io/e2qvy/.",Tommaso Piselli;Giuseppe Liotta;Fabrizio Montecchiani;Martin Nöllenburg;Sara Di Bartolomeo,HM,,True,P;O,https://vispubs.com/?paper=EARLY_ACCESS%2Fbbfc6b4e-96d6-4981-87da-8bb285d256dc,F^2Stories: A Modular Framework for Multi-Objective Optimization of Storylines with a Focus on Fairness,,,,,,False,False,False,1.0,[],0,False,0.0,1,False
Vis,2025,FlowForge: Guiding the Creation of Multi-agent Workflows with Interactive Visualizations as a Thinking Scaffold,EARLY_ACCESS/ed3195e2-8726-4d85-acb7-c5ed2dc361bb,"Multi-agent workflows have become a powerful approach to solve complicated tasks by decomposing them into multiple sub-tasks and assigning the sub-tasks to specialized agents. However, designing optimal workflows remains challenging due to the expansive design space. Current practices rely heavily on practitioner intuition and expertise, often resulting in design fixation or an unstructured trial-and-error exploration. To address these challenges, this work introduces FlowForge, an interactive visualization tool to facilitate multi-agent workflow creation through i) a structured visual explore of the design space and ii) in-situ guidance based on design patterns. Based on formative studies and literature review, FlowForge organizes the workflow design process into three levels (i.e., task planning, agent assignment, and agent optimization), ranging from abstract to concrete. A structured visual exploration of the design space enable users to transition from high-level concepts to detailed implementations, and to compare alternative solutions across multiple performance metrics. Additionally, drawing from established workflow design patterns, FlowForge provides contextually relevant in-situ suggestions at each level as users navigate the design space. Use cases and expert interviews demonstrate the usability and effectiveness of FlowForge, while also yielding valuable observations into how practitioners explore the design space and leverage guidance in workflow creation.",Pan Hao;Dongyeop Kang;Nicholas Hinds;Qianwen Wang,,,True,PW;P;C;O,https://vispubs.com/?paper=EARLY_ACCESS%2Fed3195e2-8726-4d85-acb7-c5ed2dc361bb,FlowForge: Guiding the Creation of Multi-agent Workflows with Interactive Visualizations as a Thinking Scaffold,,,,,,False,False,False,1.0,[],0,False,0.0,1,False
Vis,2025,From Vision to Touch: Bridging Visual and Tactile Principles for Accessible Data Representation,EARLY_ACCESS/544233de-86be-4bc4-ab7e-2e5de7d366b2,"Tactile graphics are widely used to present maps and statistical diagrams to blind and low vision (BLV) people, with accessibility guidelines recommending their use for graphics where spatial relationships are important. Their use is expected to grow with the advent of commodity refreshable tactile displays. However, in stark contrast to visual information graphics, we lack a clear understanding of the benefits that well-designed tactile information graphics offer over text descriptions for BLV people. To address this gap, we introduce a framework considering the three components of encoding, perception and cognition to examine the known benefits for visual information graphics and explore their applicability to tactile information graphics. This work establishes a preliminary theoretical foundation for the tactile-first design of information graphics and identifies future research avenues.",Kim Marriott;Matthew Butler;Leona Holloway;William Jolley;Bongshin Lee;Bruce Maguire;Danielle Szafir,,True,True,O,https://vispubs.com/?paper=EARLY_ACCESS%2F544233de-86be-4bc4-ab7e-2e5de7d366b2,From Vision to Touch: Bridging Visual and Tactile Principles for Accessible Data Representation,,,,,,False,False,False,1.0,[],0,False,0.0,1,False
Vis,2025,GALE: Leveraging Heterogeneous Systems for Efficient Unstructured Mesh Data Analysis,EARLY_ACCESS/5cec6278-7356-4658-8125-0dc6b65f8b08,"Unstructured meshes present challenges in scientific data analysis due to irregular distribution and complex connectivity. Computing and storing connectivity information is a major bottleneck for visualization algorithms, affecting both time and memory performance. Recent task-parallel data structures address this by precomputing connectivity information at runtime while the analysis algorithm executes, effectively hiding computation costs and improving performance. However, existing approaches are CPU-bound, forcing the data structure and analysis algorithm to compete for the same computational resources, limiting potential speedups. To overcome this limitation, we introduce a novel task-parallel approach optimized for heterogeneous CPU-GPU systems. Specifically, we offload the computation of mesh connectivity information to GPU threads, enabling CPU threads to focus on executing the visualization algorithm. Following this paradigm, we propose GPU-Aided Localized data structurE (GALE), the first open-source CUDA-based data structure designed for heterogeneous task parallelism. Experiments on two 20-core CPUs and an NVIDIA V100 GPU show that GALE achieves up to 2.7× speedup over state-of-the-art localized data structures while maintaining memory efficiency.",Guoxi Liu;Thomas Randall;Rong Ge;Federico Iuricich,,,True,P;O,https://vispubs.com/?paper=EARLY_ACCESS%2F5cec6278-7356-4658-8125-0dc6b65f8b08,GALE: Leveraging Heterogeneous Systems for Efficient Unstructured Mesh Data Analysis,,,,,,False,False,False,1.0,[],0,False,0.0,1,False
